,0
grade_ordinal,0.35868314
term_months,0.17762055
int_rate,0.1390818
fico_avg,0.13076265
dti,0.121338904
loan_to_income,0.099496394
open_acc,0.09925024
revol_bal,0.07635182
mort_acc,0.06963089
addr_state_freq,0.06962186
home_ownership_MORTGAGE,0.058301315
home_ownership_RENT,0.052307032
emp_length,0.05068293
loan_amnt,0.0504639
total_acc,0.036872346
annual_inc,0.036469523
longest_credit_length,0.031050567
verification_status_Not Verified,0.030654462
credit_velocity,0.03003704
revol_delinq_interaction,0.023240287
installment_burden,0.023216784
installment,0.020631313
revol_util,0.018175755
purpose_credit_card,0.017107697
pub_rec,0.016224116
purpose_small_business,0.011101924
verification_status_Source Verified,0.010744629
purpose_debt_consolidation,0.009948834
delinq_2yrs,0.008641876
log_annual_inc,0.007971613
verification_status_Verified,0.00588773
pub_rec_bankruptcies,0.0058471644
home_ownership_OWN,0.00463451
purpose_home_improvement,0.0034967647
purpose_other,0.003308225
purpose_medical,0.0030659481
application_type_Individual,0.0029718182
purpose_moving,0.0021387357
purpose_vacation,0.0017903034
purpose_car,0.0016684138
purpose_major_purchase,0.0013175659
purpose_wedding,0.000933872
application_type_Joint App,0.000748964
purpose_house,0.0005736889
purpose_renewable_energy,0.0001949784
purpose_educational,0.00015335664
home_ownership_OTHER,1.3105848e-05
home_ownership_ANY,1.1521622e-05
home_ownership_NONE,0.0
